config,v_ms,Fd_N
full,10.0,41.58410204060899
full,15.0,93.56422959137024
full,20.0,166.33640816243596
no_rear,10.0,30.96790912421686
no_rear,15.0,69.67779552948795
no_rear,20.0,123.87163649686744
no_front_rear,10.0,29.80119354581214
no_front_rear,15.0,67.05268547807731
no_front_rear,20.0,119.20477418324856
no_front,10.0,39.65380739049958
no_front,15.0,89.22106662862406
no_front,20.0,158.61522956199832
