config,n_points,k2_v2_term_ms2_per_ms2,c_const_ms2,r2,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
full,8543,0.001485146501450321,0.22298745425603492,0.6650902762433257,0.6789241149487182,0.5657700957905986,0.022738392239555295,41.58410204060899,93.56422959137022,166.33640816243596
no_rear,9626,0.0011059967544363165,0.2127444193153403,0.5601390521656033,0.5055985163137446,0.42133209692812057,0.021693893359642724,30.967909124216863,69.67779552948794,123.87163649686745
no_front_rear,10836,0.0010643283409218622,0.19841396502831943,0.5101465115167158,0.4865500987071369,0.40545841558928075,0.020232593702061298,29.801193545812136,67.05268547807731,119.20477418324855
no_front,8016,0.0014162074068035564,0.19663435140436514,0.6626432226645449,0.6474091002530543,0.5395075835442119,0.02005112361554304,39.65380739049958,89.22106662862406,158.61522956199832
