config,v_ms,Fd_N
full,10.0,40.502109135873724
full,15.0,91.1297455557159
full,20.0,162.0084365434949
no_front,10.0,37.361846347575124
no_front,15.0,84.06415428204402
no_front,20.0,149.4473853903005
no_front_rear,10.0,29.296837884067433
no_front_rear,15.0,65.91788523915173
no_front_rear,20.0,117.18735153626973
no_rear,10.0,31.29738556294676
no_rear,15.0,70.41911751663022
no_rear,20.0,125.18954225178705
