config,CdA_m2_mean,CdA_m2_median,CdA_m2_count,CdA_m2_std,CdA_m2_var,Cr_mean,Cr_median,Cr_count,Cr_std,Cr_var,r2_mean,r2_median,r2_count,r2_std,r2_var,n_points_mean,n_points_median,n_points_count,n_points_std,n_points_var,delta_CdA_vs_base
full,0.6612589246673105,0.6631330570153298,6,0.05803786519520531,0.0033683937964168243,0.023490195775013187,0.02326871027228953,6,0.0014450541516204745,2.0881815011155695e-06,0.6647743749810887,0.6759139354788197,6,0.05511102474781816,0.003037225048754626,1444.5,1444.0,6,73.27687220399078,5369.499999999996,0.1829432041111213
no_front,0.6099893281236637,0.6219243319633089,5,0.03931620114907059,0.0015457636727941797,0.021693269246419768,0.021565215968310007,5,0.0010787367494890178,1.163672974698132e-06,0.6138296797903549,0.6082864215313595,5,0.05334056922769427,0.0028452163255344447,1674.6,1697.0,5,75.6260537116674,5719.300000000002,0.13167360756747448
no_front_rear,0.4783157205561892,0.4638119144865248,6,0.048043346905298524,0.0023081631818628575,0.02052829202225769,0.020945611054014268,6,0.0012641934730999397,1.5981851374284881e-06,0.4921390092501227,0.504926133412775,6,0.06848339249682316,0.004689975047873935,1834.5,1839.5,6,99.35139656793957,9870.699999999995,0.0
no_rear,0.5109777234766657,0.5105859180102071,6,0.025988220354208585,0.0006753875971789013,0.021689098441231545,0.02112639342975358,6,0.0014782177181107748,2.185127622136626e-06,0.5384625893774878,0.548385978397473,6,0.0368609384781269,0.0013587287854882565,1656.8333333333333,1643.0,6,155.7747305138631,24265.76666666667,0.032662002920476496
