config,v_ms,Fd_N
full,10.0,-42.23336589736878
full,15.0,-95.02507326907974
full,20.0,-168.9334635894751
no_front,10.0,-24.427887441806867
no_front,15.0,-54.96274674406545
no_front,20.0,-97.71154976722747
no_front_rear,10.0,-55.46731260890212
no_front_rear,15.0,-124.80145337002978
no_front_rear,20.0,-221.86925043560848
no_rear,10.0,-49.215079108274935
no_rear,15.0,-110.73392799361861
no_rear,20.0,-196.86031643309974
