config,CdA_m2_mean,CdA_m2_median,CdA_m2_count,CdA_m2_std,CdA_m2_var,Cr_mean,Cr_median,Cr_count,Cr_std,Cr_var,r2_mean,r2_median,r2_count,r2_std,r2_var,n_points_mean,n_points_median,n_points_count,n_points_std,n_points_var,delta_CdA_vs_base
full,0.6612589246673105,0.6626571432464117,12,0.0784050623657213,0.006147353804572647,0.023490195775013187,0.02363934252838564,12,0.004293142855743262,1.843107557981941e-05,0.6647743749810887,0.6975747449978299,12,0.09375774177698791,0.008790514143120343,722.25,700.5,12,104.75696982670283,10974.022727272728,0.1829432041111213
no_front,0.6099893281236638,0.6147685474631899,10,0.04107589691137748,0.00168722930707411,0.021693269246419768,0.02149461035090424,10,0.0033355886280304345,1.1126151495445957e-05,0.6138296797903547,0.6034037181031972,10,0.11456198215252024,0.013124447754714365,837.3,828.5,10,108.66671779139902,11808.455555555556,0.1316736075674746
no_front_rear,0.4783157205561892,0.4750045604799794,12,0.057187722886055614,0.003270435648892289,0.02052829202225769,0.020686203897960637,12,0.002752825833504969,7.578050069612326e-06,0.4921390092501227,0.49471275543678866,12,0.08720172770935962,0.007604141315497298,917.25,915.0,12,121.86589126800597,14851.295454545454,0.0
no_rear,0.5109777234766657,0.5021751443157164,12,0.045913514484424225,0.002108050812311433,0.021689098441231545,0.022280764483993118,12,0.00351159060329755,1.2331268565167653e-05,0.5384625893774878,0.5344837307309431,12,0.1004809087393372,0.01009641302108301,828.4166666666666,868.5,12,172.64069800038635,29804.810606060608,0.032662002920476496
