t_s,ICU_Brakpresr_bar,ICU_Speed_kmh,ICU_Speedfl_kmh,ICU_Speedfr_kmh,ICU_Speedrl_kmh,ICU_Speedrr_kmh,ICU_SteeringAngle_deg,SBG_GPS1_VELOCITY_ACC_D,SBG_GPS1_VELOCITY_ACC_E,SBG_GPS1_VELOCITY_ACC_N,GPS1_VEL_D_ms,GPS1_VEL_E_ms,GPS1_VEL_N_ms,IMU_ACCEL_X_ms2,IMU_ACCEL_Y_ms2,IMU_ACCEL_Z_ms2,SBG_VELOCITY_ACC_D,SBG_VELOCITY_ACC_E,SBG_VELOCITY_ACC_N,GPS1_VEL_MAG_ms,WHEEL_SPEED_kmh,IMU_ACCEL_LONG_ms2
2657.9600000000005,0.0,18.75,68.8546078514589,69.38902989148812,68.95887647455979,70.25117123221659,5.62274999999954,0.06,0.06,0.06,-0.2824008380553645,-1.8541336126851216,18.669422408456747,0.6433749999991559,-1.3867125000058245,-9.546812500000115,0.07,0.22,0.18,18.763392410553323,69.36342136243084,0.3038245112079382
2657.9700000000003,0.0,18.75,68.83135742857141,69.37234942857137,68.89699428571426,70.41287857142859,5.880375093773689,0.06,0.06,0.06,-0.2738298176277741,-1.851276605875925,18.667517737250616,1.0937874999993935,1.014062499997506,-9.597099999999816,0.07,0.22,0.18,18.761088089741808,69.3783949285714,0.2130510535798034
2657.9800000000005,0.0,18.75,68.7880015844156,69.22004812987021,68.85252675324676,70.44067077922077,6.300480120028794,0.06,0.06,0.06,-0.2652587972001836,-1.848419599066728,18.66561306604449,1.4887874999993935,2.639062499997506,-9.717099999999816,0.07,0.22,0.18,18.75878803054709,69.32531181168832,0.19488708197362517
2657.99,0.0,18.75,68.83435319170188,69.22847850537349,68.85692722319413,70.40036250937283,6.570217445637871,0.06,0.06,0.06,-0.2566877767725932,-1.8455625922575312,18.66370839483836,1.215587500002168,0.7881375000127209,-9.294187500002437,0.07,0.22,0.18,18.756492234536942,69.33003035741058,0.23160403315297828
2658.0000000000005,0.0,18.75,68.91779233191664,69.3033597850534,68.88153107223182,70.33189962509404,6.780164958759723,0.06,0.06,0.06,-0.2481167563450027,-1.8427055854483343,18.66180372363222,0.570587500004001,-2.996862499976521,-8.569187500004498,0.07,0.22,0.18,18.75420070327699,69.35864570357397,0.298857840201527
2658.01,0.0,18.75,68.96286987095203,69.15805068906744,68.8614790990991,70.37372961285611,6.84,0.06,0.06,0.06,-0.2408593897791574,-1.8432656811607984,18.65936978082862,0.5635862735613496,-5.262977283708844,-8.282051715804831,0.07,0.22,0.18,18.751739178931917,69.33903231799367,0.48869079657905123
2658.0200000000004,0.0,18.75,68.99204932067201,68.92148872169481,68.82292054054057,70.46126796201602,6.84,0.06,0.06,0.06,-0.2570742912736192,-1.904882306839753,18.64747885306601,0.9115804736576668,-6.683953600768806,-8.238552440792793,0.07,0.22,0.18,18.746283134789383,69.29943163623085,0.7467292718437651
2658.0300000000007,0.0,18.75,68.89566320555716,68.94026021095945,68.7217721018782,70.63983202469748,6.6043445692879725,0.06,0.06,0.06,-0.273289192768081,-1.966498932518708,18.63558792530341,0.8431364931377653,-6.095765345772351,-8.932975912971731,0.07,0.22,0.18,18.741049659936213,69.29938188577307,0.7676755851492162
2658.0400000000004,0.0,18.75,68.73269948031923,69.09441508618453,68.58743713918206,70.86665991252865,6.274756554307532,0.06,0.06,0.06,-0.2895040942625428,-2.028115558197663,18.6236969975408,0.464996114997229,-4.013403263409399,-10.176177156173496,0.07,0.22,0.18,18.736038940880977,69.32030290455361,0.6123013978842836
2658.05,0.0,18.75,68.8244601889604,69.10512049726512,68.69354454500215,70.97248385877664,6.265542771385346,0.06,0.06,0.06,-0.3057189957570046,-2.0897321838766176,18.6118060697782,0.3878699999997483,-1.9711400000056487,-11.394814999996631,0.07,0.22,0.18,18.731251156389128,69.39890227250108,0.5584659685409414
