t_s,ICU_Brakpresr_bar,ICU_Speed_kmh,ICU_Speedfl_kmh,ICU_Speedfr_kmh,ICU_Speedrl_kmh,ICU_Speedrr_kmh,ICU_SteeringAngle_deg,SBG_GPS1_VELOCITY_ACC_D,SBG_GPS1_VELOCITY_ACC_E,SBG_GPS1_VELOCITY_ACC_N,GPS1_VEL_D_ms,GPS1_VEL_E_ms,GPS1_VEL_N_ms,IMU_ACCEL_X_ms2,IMU_ACCEL_Y_ms2,IMU_ACCEL_Z_ms2,SBG_VELOCITY_ACC_D,SBG_VELOCITY_ACC_E,SBG_VELOCITY_ACC_N,GPS1_VEL_MAG_ms,WHEEL_SPEED_kmh,IMU_ACCEL_LONG_ms2
1984.7200000000005,0.0,18.95,68.5472081541584,68.14175194726135,69.06682229208923,69.59457971602428,-5.9827693076731085,0.07,0.07,0.07,0.3073796448367983,3.256261291315963,-18.41041623896529,-1.1527843039243169,-2.6881304673779884,-9.975771057234894,0.05,0.19,0.16,18.69869369596014,68.83759052738331,-0.09911705004525669
1984.73,0.0,18.95,68.43287246818075,68.27555763414017,68.94693550287002,69.36826021961575,-5.927271364317839,0.07,0.07,0.07,0.319184202422499,3.2711452987066294,-18.390913056867177,-1.307745563609053,0.0011972006990457,-9.560874781304792,0.05,0.19,0.16,18.68228982714844,68.75590645620167,-0.49359199408712134
1984.74,0.0,18.95,68.22992762166241,68.54365845769861,68.79739719490914,69.09054621911697,-5.837316341829098,0.07,0.07,0.07,0.3309887600081997,3.286029306097295,-18.37140987476906,-1.4197054418381154,2.409410883676231,-9.165262106840164,0.05,0.19,0.1612379421221674,18.665911254116264,68.66538237334679,-0.8414766187149785
1984.75,0.0,18.92404760719091,68.19139783505156,68.52331845360816,68.55069721649461,69.06596288659799,-5.82,0.07,0.07,0.07,0.3427933175939339,3.3009133134880035,-18.35190669267089,-1.050259610584121,1.6705192211682425,-8.985531702446329,0.05,0.19,0.17,18.649558043509987,68.58284409793808,-0.6677769357401956
1984.76,0.0,18.889188785419115,68.20295404516446,68.41511030436911,68.27439873834052,69.11849111438393,-5.82,0.07,0.07,0.07,0.3546704971271545,3.31077841618786,-18.329491381463903,-0.7385900980144069,0.8367253078672072,-8.780291530535546,0.05,0.19,0.17,18.629473937440835,68.5027385505645,-0.5074720132998917
1984.77,0.0,18.854329963647324,68.11961497459347,68.41439725609757,68.26629359756099,69.15094491361789,-6.223739557739198,0.07,0.07,0.07,0.3666615038720844,3.3127769173120143,-18.30251161628781,-1.1004900728822968,-1.103460668507869,-8.277652676552366,0.05,0.19,0.17,18.603517490696408,68.48781268546747,-0.5033262611364717
1984.78,0.0,18.81947114187543,68.00108855182899,68.45354359756107,68.35763506097582,69.17595507621958,-6.72496805896918,0.07,0.07,0.07,0.3786525106170483,3.314775418436174,-18.27553185111164,-1.465308364544868,-2.811003745317436,-7.885253433209503,0.05,0.19,0.17,18.57757191452805,68.49705557164636,-0.5076680782757128
1984.79,0.0,18.78461232010364,67.95995042448172,68.18216238400743,68.49685487660435,69.08057209279352,-6.957513980681364,0.07,0.07,0.07,0.3906435173619783,3.3167739195603296,-18.24855208593555,-1.8598152309614104,-2.1518277153556187,-8.614342072409695,0.05,0.19,0.17,18.55163725454536,68.42988494447175,-0.5983555026768903
1984.8,0.0,18.74975349833184,67.94305012833169,67.81352467423496,68.65107007897335,68.94748226061205,-7.110030503304362,0.07,0.07,0.07,0.4026345241069082,3.3187724206844846,-18.221572320759456,-2.210903659447431,-1.417020164302915,-9.227587752054244,0.05,0.19,0.17,18.52571355659387,68.33878178553802,-0.6998581150716698
1984.81,0.0,18.714894676559947,67.77735183569945,67.63780039553735,68.46199014198734,68.97054562373238,-6.898829414706896,0.07,0.07,0.07,0.4146255308518722,3.3207709218086454,-18.194592555583288,-2.10634802091098,0.1114836943013979,-8.62514812048707,0.05,0.19,0.17,18.499800866756672,68.21192199923912,-0.9148580451480879
1984.82,0.0,18.680035854788155,67.55814291075043,67.53145151115615,68.14945464503033,69.04976469066939,-6.598679339669329,0.07,0.07,0.07,0.4266165375968021,3.3227694229328004,-18.1676127904072,-2.022563140785321,1.4717104276064217,-8.11868217054312,0.05,0.19,0.17,18.473899231355993,68.07220343940158,-1.1048106127041923
1984.83,0.0,18.64517703301636,67.52264298574643,67.49976280570142,68.02079099774947,69.09546592648161,-6.515858964741184,0.07,0.07,0.07,0.438607544341732,3.3247679240569554,-18.140633025231104,-2.182603150787721,0.8565566391596982,-8.73883720930242,0.05,0.19,0.17,18.448008696954176,68.03466567891974,-1.00073586100374
1984.84,0.0,18.61031821124447,67.5440483370843,67.49120066516628,67.94908307076756,69.13078475618912,-6.485851462865691,0.07,0.07,0.07,0.450598551086696,3.326766425181116,-18.11365326005493,-2.3051149999992764,0.3050100000004366,-9.37122500000178,0.05,0.19,0.17,18.422129310355317,68.02877920730181,-0.8888212268412669
1984.85,0.0,18.6,67.58402675053411,67.4107888488012,67.93836920009495,68.97845694754308,-6.48,0.07,0.07,0.07,0.4625895578316259,3.328764926305271,-18.08667349487884,-1.990114999999724,0.4950100000001666,-10.14622500000068,0.05,0.19,0.17,18.396261118606894,67.97791043674333,-0.6855074566409917
1984.86,0.0,18.6,67.62974239259437,67.30818262995484,67.94649642535012,68.76816499406586,-6.48,0.07,0.07,0.07,0.4745805645765558,3.330763427429426,-18.05969372970275,-1.675528353734856,0.531853609793542,-10.845395953035316,0.05,0.19,0.17,18.37040416900075,67.9131466104913,-0.47788260587503684
1984.87,0.0,18.6,67.67811344782042,67.38530660502012,68.02214177014551,68.50952464993344,-6.386768433179336,0.07,0.07,0.07,0.4865715713215198,3.3327619285535866,-18.03271396452658,-1.3657606794899526,-1.2168348738470414,-10.660534599050456,0.05,0.19,0.17,18.344558509074737,67.89877161822987,-0.21999819560183617
1984.88,0.0,18.6,67.7278677410832,67.55605429326282,68.13295815059442,68.22569902245718,-6.213957373271624,0.07,0.07,0.07,0.4985625780664497,3.3347604296777416,-18.00573419935049,-1.0827288732394522,-2.7504728370216824,-10.439320925553034,0.05,0.19,0.1687808807733565,18.31872418661443,67.9106448018494,0.0010445380116011621
1984.89,0.0,18.6,67.76913651367182,67.61456540039059,68.09425141601574,68.16539492187499,-6.204098975256208,0.07,0.07,0.07,0.5105535848113797,3.336758930801897,-17.978754434174395,-1.1179401408450529,-1.724315895372745,-9.785397384306162,0.05,0.19,0.16,18.29290124965407,67.91083706298829,-0.21644752473253892
1984.9,0.0,18.6,67.8077986230468,67.63859860351558,68.00961274414078,68.17375429687499,-6.2340914771307165,0.07,0.07,0.07,0.5225445915563096,3.338757431926052,-17.951774668998304,-1.1535586481112765,-0.6467644135211215,-9.213576043737206,0.05,0.19,0.16,18.267089746478376,67.90744106689453,-0.426995302211497
1984.91,0.0,18.6,67.74007381725886,67.49040425380706,67.92490789847714,68.39809883248736,-6.456539325843175,0.07,0.07,0.07,0.5345355983012736,3.3407559330502123,-17.924794903822136,-1.193320079522901,0.9536332007967648,-9.47699552683922,0.05,0.19,0.16,18.24128972562383,67.8883712005076,-0.5668975854556204
1984.92,0.0,18.6,67.63035808121835,67.27423166497476,67.84017693401022,68.70769274111652,-6.726202247191191,0.07,0.07,0.07,0.5465266050462035,3.342754434174368,-17.897815138646042,-1.270943396226621,2.3449937106913965,-9.747685534591335,0.05,0.19,0.16,18.215501235880474,67.86311485532997,-0.6966778881953974
1984.93,0.0,18.6,67.48108699723146,67.21712583438207,67.88392247168379,68.51885233828375,-6.78,0.07,0.07,0.07,0.5585176117911335,3.3447529352985224,-17.87083537346995,-1.799245283018243,1.2481383647811723,-10.104918238993289,0.05,0.19,0.16,18.18972432629296,67.77524691039527,-0.7059739713890317
1984.94,0.0,18.6,67.31841898816984,67.21389401963252,67.97118146992214,68.16119817266481,-6.78,0.07,0.07,0.07,0.5705086185360975,3.346751436422683,-17.843855608293783,-2.285841238142798,0.1246380429353396,-10.416070893659482,0.05,0.19,0.16,18.16395904616223,67.66617316259733,-0.7054674305293108
1984.95,0.0,18.56302041633313,67.17281893398521,67.13114962836177,68.07882534474338,68.10418983863084,-6.708044999999989,0.07,0.07,0.07,0.5824996252810274,3.348749937546838,-17.81687584311769,-2.3507438841737205,-1.2682725911129231,-10.261303045431898,0.05,0.19,0.16,18.13820544504729,67.6217459364303,-0.6058454686856468
1984.96,0.0,18.51298038430756,67.0325939951101,67.02336478728613,68.19288891442535,68.14186221026893,-6.618044999999989,0.07,0.07,0.07,0.5871187875057851,3.345582140842204,-17.794813817510413,-2.4043365047571887,-2.4032048072120897,-10.1012669003507,0.05,0.19,0.16,18.1160985626493,67.59767747677263,-0.5300482068396842
1984.9700000000005,0.0,18.46294035228184,66.93412425401678,66.91225597551637,67.83014896709984,68.24864422341248,-6.69594000000022,0.07,0.07,0.07,0.5794252961994159,3.3337854541724377,-17.78096553315895,-2.3392388582873607,-0.8308462694023966,-9.885943915873575,0.05,0.19,0.16,18.10007166891098,67.48129335501137,-0.7042733714091616
1984.98,0.0,18.412900320256263,66.85225738332065,66.79982547309369,67.27782047947,68.38290589135413,-6.815940000000049,0.07,0.07,0.07,0.5717318048930685,3.321988767502705,-17.767117248807523,-2.260224719101096,0.752359550562014,-9.781235955056308,0.05,0.19,0.16,18.084052144389936,67.32820230680962,-0.8582127157987344
1984.99,0.0,18.362860288230685,66.74183375780287,66.72709687890143,67.14734104868913,68.1810091385771,-6.84,0.07,0.07,0.07,0.5640383135867212,3.310192080832973,-17.753268964456097,-2.04049937578049,2.445243445691226,-10.79496878901274,0.05,0.19,0.16,18.06804000868725,67.19932020599263,-0.8070398783748506
1985.0,0.0,18.31282025620497,66.62214337078626,66.66725168539313,67.15375303370787,67.87002786516787,-6.84,0.07,0.07,0.07,0.5563448222803519,3.2983953941632063,-17.739420680104633,-1.816904880477892,3.7058864541808574,-11.663351593625018,0.05,0.19,0.16,18.0520352814645,67.07829398876378,-0.7316188018324283
1985.01,0.0,18.26278022417939,66.59252,66.6476016925388,67.26742745618449,67.68742362043044,-6.674624999999817,0.07,0.07,0.07,0.5486513309740045,3.2865987074934737,-17.725572395753208,-1.552960657370657,0.4588745019937414,-11.015941235060104,0.05,0.19,0.16,18.03603798244408,67.04874319228843,-0.40332323162960726
1985.02,0.0,18.212740192153817,66.59252,66.64117204807211,67.41638088632958,67.54704304957428,-6.464625000000115,0.07,0.07,0.07,0.5409578396676572,3.274802020823741,-17.711724111401782,-1.286852409639051,-2.5256099397591307,-10.398448795181183,0.05,0.19,0.1612392703862474,18.020048131409094,67.049278995994,-0.09707176613192353
1985.03,0.0,18.162700160128097,66.78296659147911,66.57395670676678,67.32637587969897,67.46085369423548,-6.301874999999869,0.07,0.07,0.07,0.533264348361288,3.263005334153975,-17.697875827050318,-0.9956877510037284,-2.470389056224845,-10.127364457831058,0.05,0.19,0.17,18.004065748203722,67.03603821804508,-0.04606053184852792
1985.04,0.0,18.11266012810252,67.03504679197984,66.48706948872184,67.15903753383466,67.39220206516293,-6.151875000000083,0.07,0.07,0.07,0.5255708570549407,3.2512086474842423,-17.684027542698892,-0.7579930017498132,-2.184246438388292,-9.913679080230246,0.05,0.19,0.17,17.988090852733507,67.01833896992483,-0.02833094821595
1985.05,0.0,18.1,66.96374393186677,66.54634369056056,67.14052099361245,67.45276354861592,-6.098787878787902,0.07,0.07,0.07,0.5178773657485933,3.2394119608145098,-17.67017925834747,-1.0779130217445618,0.5100799800049818,-10.298582854286426,0.05,0.19,0.17,17.97212346496529,67.02584304116392,-0.35768143565096316
1985.06,0.0,18.1,66.7905998580551,66.65164768866823,67.16887207002605,67.55401739295023,-6.071851851851798,0.07,0.07,0.07,0.5101838744422241,3.227615274144744,-17.656330973996003,-1.3856639159793434,2.890810202548876,-10.625198799699373,0.05,0.19,0.17,17.95616360492753,67.0412842524249,-0.6591576198778185
1985.07,0.0,18.1,66.68463827979818,66.4932806955134,67.25239101672427,67.52433519511538,-6.078956276445737,0.07,0.07,0.07,0.5024903831358768,3.215818587475011,-17.64248268964458,-1.565708927231787,1.9805826456615216,-10.340127531883004,0.05,0.19,0.17,17.940211292710643,66.98866129678781,-0.6681138175609216
1985.08,0.0,18.1,66.61533113883726,66.1910561136182,67.36600928059467,67.42321494027075,-6.112806770098714,0.07,0.07,0.07,0.4947968918295294,3.2040219008052784,-17.628634405293155,-1.7453086728314318,1.0087228192985005,-10.08131217195698,0.05,0.19,0.1686815523657696,17.924266548466903,66.89890286833023,-0.6665382056703049
1985.09,0.0,18.1,66.62803002967368,66.03877436201755,67.30480185459913,67.41061278931754,-6.12,0.07,0.07,0.07,0.4871034005231602,3.1922252141355125,-17.61478612094169,-1.9202649337665567,-0.6058735316170856,-10.096308422894277,0.05,0.19,0.16,17.908329392410778,66.84555475890198,-0.5551308653649861
1985.1,0.0,18.1,66.66613091988137,65.93293855588507,67.18944082591474,67.42542980217608,-6.12,0.07,0.07,0.07,0.4794099092168128,3.18042852746578,-17.600937836590266,-2.099579894973568,-1.9338034508640307,-10.14263315828928,0.05,0.19,0.16,17.89239984481926,66.80348502596432,-0.4702546690696033
1985.11,0.0,18.1,66.52718298916719,65.92921562626947,67.01726906905886,67.45020975964795,-6.387794632438338,0.07,0.07,0.07,0.4717164179104655,3.168631840796047,-17.58708955223884,-2.324636159039442,-0.2533833458388346,-10.517726931732405,0.05,0.19,0.16,17.87647792603178,66.73096936103587,-0.6638030070386349
1985.12,0.0,18.1,66.32651271157727,65.96109104942455,66.82529208869305,67.4784629756263,-6.727851308551847,0.07,0.07,0.07,0.4640229266040963,3.156835154126281,-17.573241267887376,-2.5172966207758503,1.3667334167717815,-10.895043804756275,0.05,0.19,0.16,17.860563656450534,66.6478397063303,-0.8398651940046832
1985.13,0.0,18.1,66.12584243398791,65.99296647257954,66.63331510832778,67.5067161916046,-7.067907984664389,0.07,0.07,0.07,0.4563294352977489,3.1450384674565486,-17.55939298353595,-2.3721151439298382,2.3579724655824856,-11.295544430538378,0.05,0.19,0.16,17.84465705654082,66.56471005162496,-0.8335718062209898
1985.14,0.0,18.1,66.04640962540319,65.89020502108673,66.74469836765049,67.36555850161271,-7.092720000000024,0.07,0.07,0.07,0.4486359439914016,3.133241780786816,-17.545544699184525,-2.21752247752246,3.0096003996002025,-11.632577422577402,0.05,0.19,0.16,17.82875814683096,66.51171787893828,-0.7984090635216337
1985.15,0.0,18.077629806973004,65.99969168940717,65.75111298437132,66.93794073927037,67.17868675762864,-7.0327200000001096,0.07,0.07,0.07,0.4409424526850542,3.121445094117083,-17.5316964148331,-1.967772227772644,0.2273826173872546,-11.327882117882629,0.05,0.19,0.16,17.81286694791266,66.46685804266937,-0.471345065564724
1985.16,0.0,18.047703127338053,66.05679619240516,65.73111094683546,66.81804674430357,66.95623331645544,-6.925439999999913,0.0696102655260527,0.0696102655260527,0.0696102655260527,0.4259518833103787,3.119219549072799,-17.524927068973195,-1.7104904904906604,-2.228958958959425,-11.04383383383387,0.05,0.19,0.16,17.805449569585235,66.39054679999991,-0.1725129448798729
1985.17,0.0,18.017776447703184,66.14456328101272,65.74628056708862,66.60567206075933,66.72327129113904,-6.805439999999913,0.0691658704588383,0.0691658704588383,0.0691658704588383,0.4099426335216251,3.118330146306757,-17.51914595099392,-1.375155155155695,-1.308038038039521,-10.973763763763875,0.05,0.19,0.16,17.79922781236228,66.30494679999993,-0.16626573411749465
