t_s,ICU_Brakpresr_bar,ICU_Speed_kmh,ICU_Speedfl_kmh,ICU_Speedfr_kmh,ICU_Speedrl_kmh,ICU_Speedrr_kmh,ICU_SteeringAngle_deg,GPS1_VEL_D_ms,GPS1_VEL_E_ms,GPS1_VEL_N_ms,IMU_ACCEL_X_ms2,IMU_ACCEL_Y_ms2,IMU_ACCEL_Z_ms2,GPS1_VEL_MAG_ms,WHEEL_SPEED_kmh,IMU_ACCEL_LONG_ms2
3299.6600000000008,0.0,18.95,68.9650196101956,69.05233931034495,69.22681187406113,70.15140416791607,-5.378522216673725,0.304173863797236,3.230971022700461,-18.42815965831336,-0.3517457542448684,-2.14638861138478,-8.809985014984314,18.711727976892867,69.34889374062944,-0.06287325949981218
3299.670000000001,0.0,18.95,68.82705859070478,69.02774160919542,69.58829113443242,70.14498737631185,-5.618162755865846,0.3070055217329703,3.2304990797111715,-18.41447331162398,-0.5665309690312359,-3.075459540460695,-8.979815184815395,18.698213926439635,69.39701967766112,-0.012692336160848458
3299.6800000000007,0.0,18.95,68.78940726546904,68.9975639121757,69.56973413173694,70.12736858283438,-5.759235382308561,0.3098371796686886,3.230027136721885,-18.400786964934674,-0.4713288288289711,-1.7950225225239165,-9.467227227226834,18.684700567865,69.37101847305402,-0.04010179531419721
3299.690000000001,0.0,18.95,68.80435736526942,68.96446011976056,69.35188982035983,70.10387556886234,-5.849190404797175,0.3146074251106536,3.239726786344713,-18.38924934140848,-0.2461036036043148,0.4121846846777144,-10.087847847845888,18.67509836179147,69.30614571856304,-0.10005626231178641
3299.7000000000007,0.0,18.94347761045175,68.79208404809626,68.98090152304599,69.16143775551143,70.09360288577155,-5.919479609707,0.3194959398169312,3.250046984057966,-18.377842807093828,-0.0176673326682802,1.1799850149843147,-10.50644105893968,18.665743738099323,69.25700655310631,-0.03983219540413109
3299.710000000001,0.0,18.913558392340686,68.76528044088181,69.0237872945891,68.98560609218467,70.09038645290582,-5.979524643482389,0.3243844545232088,3.2603671817712185,-18.366436272779183,0.2121028971018764,1.3498151848144304,-10.841106393604909,18.656398387587192,69.21626507014034,0.07031741955993237
3299.7200000000007,0.0,18.88363917422962,68.44894798795865,68.65676314099447,69.15686277972844,70.08928,-6.27664167915856,0.3292729692294864,3.270687379484471,-18.35502973846453,-0.3264764764727648,0.2998798798866129,-11.04225475475413,18.647062324197382,69.08796347717039,0.029069445170044644
3299.730000000001,0.0,18.853719956118383,67.98078943301384,68.07478622177408,69.51012921224415,70.08928,-6.69643178410781,0.3341614839357918,3.2810075771977827,-18.34362320414982,-1.1873373373387934,-1.2616816816843228,-11.187399899900146,18.637735561886245,68.91374621675801,-0.07568170545190356
3299.7400000000007,0.0,18.82380073800732,67.94605746822853,67.94159295788701,69.47502960877115,70.04402483927227,-6.84,0.3390499986420694,3.2913277749110352,-18.332216669835173,-2.1333026151934624,-2.1634321295146,-10.561332503112904,18.628418114624296,68.85167621853974,-0.3943364108519228
3299.750000000001,0.0,18.793881519896253,68.1316343433837,68.0365144629951,69.24252524794457,69.97576667829566,-6.84,0.343938513348347,3.301647972624288,-18.320810135520524,-3.114622665004801,-2.791078455789873,-9.614881693650192,18.619109996395903,68.84661018315475,-0.8018526779320522
3299.7600000000007,0.0,18.763962301785188,67.76907696562199,68.05931993024419,69.17036005480814,69.8431192227209,-6.8202745881179245,0.3488270280546246,3.3119681703375408,-18.30940360120588,-2.8065972396509977,-1.766178168135146,-9.238787954830965,18.609811221199458,68.71046904334881,-0.8619020315133505
3299.770000000001,0.0,18.734043083674123,67.11971971599549,68.04439217737921,69.18208900348776,69.6767814050826,-6.79031952071908,0.3537155427609022,3.3222883680507937,-18.29799706689123,-1.9433601003795395,-0.0296662484379104,-9.108298619824817,18.600521803047254,68.50574557548626,-0.7723268629713943
3299.7800000000007,0.0,18.70412386556305,67.11268823677467,67.95093270529013,68.90681356675208,69.52465097229269,-6.917654999998756,0.3586040574671799,3.3326085657640463,-18.286590532576582,-2.0887737262713983,0.7870204795186873,-9.204100899100116,18.591241755965502,68.3737713702774,-0.8915830929403593
3299.790000000001,0.0,18.67420464745182,67.45228521410594,67.81509391435762,68.47665739546582,69.38018749622161,-7.12765499999995,0.3634925721734852,3.342928763477358,-18.27518399826187,-2.653209290709992,1.221585914086454,-9.393911088911326,18.581971093994206,68.28105600503775,-1.0975937680118506
3299.8000000000006,0.0,18.65,67.56622,67.64727841490702,68.53160084968913,69.27589869813674,-7.278679669917401,0.3683810868797629,3.3532489611906104,-18.26377746394722,-2.400297872339873,0.341304130161375,-9.813271589487336,18.572709831187343,68.25524949068323,-0.8576607794967247
3299.810000000001,0.0,18.65,67.56622,67.46331816646006,68.83146668819805,69.19189372919274,-7.398709677419201,0.3732696015860405,3.363569158903863,-18.252370929632573,-1.804553191488996,-1.0904856070096414,-10.328916145181797,18.563457981612522,68.26322464596271,-0.43067831959937986
3299.8200000000006,0.0,18.65,67.5041145136287,67.358128947237,68.76625108777277,68.98960201550473,-7.36131934033014,0.3781581162923181,3.373889356617116,-18.240964395317928,-1.5523076923078802,-1.7183566433561397,-9.9326223776237,18.55421555935115,68.15452414103581,-0.3406555530554443
3299.830000000001,0.0,18.65,67.40886070017541,67.29498316079044,68.50617606901825,68.72417565891574,-7.241379310345321,0.3830466309985957,3.3842095543303685,-18.22955786100328,-1.4424175824181171,-2.013061938060504,-9.158396603400371,18.544982578498335,67.98354889722495,-0.39027803425167684
3299.8400000000006,0.0,18.65,67.39539726770455,67.25550672526379,68.17454213962982,68.65718791562013,-7.25894999999958,0.3879351457048733,3.394529752043621,-18.21815132668863,-1.3782432432434943,-0.3780780780916903,-8.799444444445477,18.535759053162863,67.87065851205456,-0.593061915870601
3299.850000000001,0.0,18.65,67.425492697137,67.22863580612767,67.80479829231692,68.69588203917614,-7.34894999999958,0.3928236604111509,3.404849949756874,-18.206744792373986,-1.3331981981984349,2.064364364351531,-8.614259259260233,18.52654499746716,67.78870220868943,-0.85993461043414
3299.8600000000006,0.0,18.65,67.40050082504969,67.15692106858842,67.83513195328042,68.72656958747515,-7.497811641269121,0.3977121751174563,3.4151701474701857,-18.19533825805927,-1.3941608391608704,2.398601398601238,-8.4187412587412,18.51734042554717,67.77978085859843,-0.9447516768651519
3299.870000000001,0.0,18.65,67.34731991053687,67.0622590407556,68.07019159542709,68.75316004473157,-7.67767674244307,0.404405475181437,3.414298796824023,-18.17626528325788,-1.499055944055942,1.85914085914087,-8.218941058941063,18.498583721726277,67.80823264786278,-0.954119946911139
3299.880000000001,0.0,18.65,67.29529664248194,66.80582879659796,68.1957001701275,68.57817604703571,-7.681185000000246,0.4126864435676153,3.403582249500733,-18.150448146524496,-1.7194029850742965,-0.0011194029821062,-8.53179104477547,18.4714225264189,67.71875041406078,-0.787333921533707
3299.890000000001,0.0,18.65,67.24389809357021,66.46210100075076,68.2620899624718,68.29441322491886,-7.591185000000502,0.4209674119537935,3.392865702177444,-18.12463100979112,-1.988059701491781,-2.4140547263613685,-9.059154228854238,18.444267414999736,67.56562557042791,-0.5468379427521087
3299.9000000000005,0.0,18.64738406955831,67.1673308617236,66.45660641282535,68.07028649298653,68.22260067134262,-7.579575636545004,0.4292483803399717,3.382149154854154,-18.098813873057736,-2.2690203466455032,-2.0396759608198245,-9.122235619191684,18.41711841437993,67.47920610971953,-0.6705726826312124
3299.9100000000008,0.0,18.63239306416156,67.07727074148332,66.63243807615162,67.74006605210549,68.26441429859703,-7.609530703943935,0.43752934872615,3.3714326075308647,-18.07299673632436,-2.555380557647586,-0.4420874152292593,-8.981567445366098,18.3899755516235,67.42854729208436,-0.9541496803423193
3299.920000000001,0.0,18.61740205876472,66.99726284289267,66.69729461346634,67.7512793017459,68.28093730673316,-7.7370314842578685,0.4458103171123753,3.3607160602075146,-18.04717959959083,-2.5906479859895053,1.4506329747306728,-8.915323992994752,18.362838853948155,67.43169351620952,-1.1728303125716752
3299.9300000000007,0.0,18.602411053367973,66.922549625935,66.70369860349129,67.94233167082332,68.28413930174564,-7.916941529235095,0.4540912854985535,3.349999512884225,-18.02136246285745,-2.5205954465850846,3.4671453590150687,-8.880297723292543,18.33570834872702,67.46317980049882,-1.364290396892779
3299.940000000001,0.0,18.58742004797122,66.92765062406396,66.55663146280556,67.89669775336976,68.21720308537184,-7.98,0.4623722538847318,3.3392829655609355,-17.995545326124073,-2.3060439560447423,3.5133966033988195,-9.367232767230751,18.308584063488738,67.39954573140278,-1.2233570587672005
3299.9500000000007,0.0,18.57242904257447,66.9757285072391,66.32692602096874,67.72361737393923,68.11250013979041,-7.98,0.47065322227091,3.3285664182376458,-17.969728189390693,-2.0313186813195547,2.7391708291732915,-10.071528471526232,18.281466025919144,67.28469301048438,-0.9440049299892608
3299.960000000001,0.0,18.55743803717772,66.98087192964829,66.34116033165795,67.81002299497435,67.91412162814129,-7.941008991009284,0.4789341906570882,3.3178498709143565,-17.943911052657313,-1.7490082644640617,1.0713223140585473,-10.653774104680869,18.2543542638622,67.26154422110547,-0.587654314489731
3299.9700000000007,0.0,18.54244703178097,66.96259052261314,66.48848696482358,68.03800289447155,67.66463419095567,-7.881068931069243,0.4872151590432664,3.307133323591067,-17.918093915923933,-1.4635086401219126,-0.9722539443905212,-11.18470323065048,18.227248805321068,67.28842864321598,-0.19892933525447812
3299.980000000001,0.0,18.527456026384133,66.83314803384738,66.5096266898954,67.7858751816816,67.63994614235953,-7.86,0.4954961274294918,3.296416776267717,-17.892276779190407,-1.4153220169745346,-1.1567324013979454,-10.707735896155832,18.200149678459052,67.19214901194597,-0.23574816386046188
3299.9900000000007,0.0,18.51246502098738,66.64567167745116,66.46488801393721,67.28309768043721,67.73261911398721,-7.86,0.50377709581567,3.285700228944428,-17.86645964245703,-1.4652471293060845,-0.572608587118813,-9.81407638542109,18.1730569116013,67.0315691214532,-0.4484985314010259
3300.000000000001,0.0,18.5,66.52834569284636,66.32381029514741,67.18242775387704,67.76893976988495,-7.8080886518915,0.5120580642018483,3.274983681621137,-17.84064250572365,-1.5435002503756068,0.9299774662002096,-9.553527791687534,18.145970533234983,66.95088087793894,-0.670452897825518
3300.0100000000007,0.0,18.5,66.44912608304155,66.13040025679514,67.30018663331661,67.77464929131231,-7.728101983003098,0.5203390325880265,3.264267134297848,-17.81482536899027,-1.633635453179728,2.817809213819858,-9.55853530295443,18.118890572011054,66.9135905661164,-0.8962678485937794
3300.020000000001,0.0,18.5,66.36990647323675,65.93699021844287,67.41794551275618,67.78035881273969,-7.648115314114698,0.5286200009742047,3.253550586974559,-17.78900823225689,-1.737727840199473,2.748177278404218,-9.584731585518014,18.09181705674518,66.87630025429388,-0.9200190345989889
3300.0300000000007,0.0,18.5,66.24285928571464,65.82615521478536,67.51129030469512,67.68932772227805,-7.386714963779299,0.536900969360383,3.242834039651269,-17.763191095523513,-1.84759051185962,1.8692759051230428,-9.619687890137152,18.06475001641891,66.81740813186829,-0.8602314910022142
3300.040000000001,0.0,18.5,66.09000214285668,65.75988148851128,67.59146013486537,67.54609095904053,-7.026984761429356,0.5451819377466083,3.232117492327919,-17.737373958789988,-2.187058823529266,0.7700000000003985,-9.937058823529268,18.037689480180617,66.74685868131846,-0.8118944616508085
3300.0500000000006,0.0,18.5,65.99735087684223,65.70190471146628,67.2950285935537,67.45267704221818,-6.880594851287212,0.5534629061327865,3.2214009450046293,-17.711556822056608,-2.6226032540673025,-0.421489361701356,-10.372603254067302,18.01063547734731,66.6117403060201,-0.7683487822323484
3300.060000000001,0.0,18.5,65.93747578316255,65.64844480639513,66.79357468398635,67.38638675992996,-6.850602349412661,0.5617438745189647,3.21068439768134,-17.685739685323227,-2.721735330836475,-0.3389637952562457,-10.309213483146207,17.983588037404854,66.4414705083685,-0.8198139192505717
3300.0700000000006,0.0,18.5,65.8390371563982,65.52331109004753,66.69675118483403,67.4015414218009,-6.84,0.5699730006750002,3.1999460013500003,-17.6599475013125,-2.6817852684144903,0.2702746566790255,-10.039550561797808,17.956566191289692,66.36516021327016,-0.9105591464565398
3300.080000000001,0.0,18.5,65.71946619107052,65.35890101272199,66.82166013968525,67.46132690446473,-6.84,0.5609732256693825,3.181946451338765,-17.642447938801578,-2.518273273273681,1.1874624624604804,-10.048213213212977,17.93587030094802,66.34033856198562,-0.9497101175865613
3300.0900000000006,0.0,18.5,65.72452852867798,65.39239359102183,66.80550229925227,67.3013162842905,-6.704407796103146,0.5519734506637647,3.163946901327529,-17.624948376290654,-2.3030580580590096,2.233508508503884,-10.173338338337786,17.9151902013785,66.30593517581065,-0.9672720028408212
3300.100000000001,0.0,18.49026606099941,65.79924174563563,65.53648336658301,66.71050978054897,67.01847339152224,-6.4945127436297145,0.5429736756581469,3.145947351316294,-17.60744881377973,-1.9828450423535675,1.8495565520725925,-10.565789735921776,17.89452594732772,66.26617707107246,-0.7604203751259488
3300.1100000000006,0.0,18.43036489791821,65.8434476846058,65.61136294367967,66.58460441051284,66.85087879849792,-6.381367606688474,0.533973900652478,3.127947801304956,-17.589949251268706,-1.619118086696182,0.8729745889376939,-11.069028400598434,17.873877593753267,66.22257345932405,-0.460565693234557
3300.120000000001,0.0,18.37046373483735,65.87023116395498,65.64671713642059,66.44104496120124,66.74910157697104,-6.32147242325955,0.5249741256468603,3.1099482512937207,-17.572449688757782,-1.376499372647337,-0.0593977415311767,-10.984617314930832,17.85324519582496,66.17677370963696,-0.2949127399907724
3300.130000000001,0.0,18.31056257175649,65.81475020060175,65.61901854563689,66.37207531594782,66.77545243731198,-6.4156145181468025,0.5159743506412425,3.091948701282485,-17.55495012624686,-1.1857841907152704,-0.9728230865742314,-10.648356336261136,17.83262880892486,66.1453241248746,-0.1867748133092062
3300.140000000001,0.0,18.25066140867564,65.71279433299914,65.55569858575737,66.34524482447345,66.87418864593766,-6.595839799748749,0.5069745756356248,3.0739491512712496,-17.537450563735938,-1.2183491508490305,-0.529672827173795,-10.11532217782277,17.812028488648455,66.12198159729192,-0.32445980695773285
