t_s,ICU_Brakpresr_bar,ICU_Speed_kmh,ICU_Speedfl_kmh,ICU_Speedfr_kmh,ICU_Speedrl_kmh,ICU_Speedrr_kmh,ICU_SteeringAngle_deg,SBG_GPS1_VELOCITY_ACC_D,SBG_GPS1_VELOCITY_ACC_E,SBG_GPS1_VELOCITY_ACC_N,GPS1_VEL_D_ms,GPS1_VEL_E_ms,GPS1_VEL_N_ms,IMU_ACCEL_X_ms2,IMU_ACCEL_Y_ms2,IMU_ACCEL_Z_ms2,SBG_VELOCITY_ACC_D,SBG_VELOCITY_ACC_E,SBG_VELOCITY_ACC_N,GPS1_VEL_MAG_ms,WHEEL_SPEED_kmh,IMU_ACCEL_LONG_ms2
3118.2200000000007,0.0,18.8,68.84252820410205,68.99699520260128,69.81023320660317,69.81723450725362,-6.402118411191712,0.07,0.07,0.07,0.2804586218112551,3.3209892662980294,-18.46984712606292,0.0472058087131505,0.5149724586885286,-8.565503254882149,-0.01,-0.01,-0.01,18.768134686365336,69.36674778014003,-0.24263497973541512
3118.230000000001,0.0,18.8,68.84674296314621,69.06031528073218,70.11461065545376,69.86043391540936,-6.142824293926418,0.07,0.07,0.07,0.2846405836160061,3.299614794851524,-18.468453138794665,-0.1430796194291533,-0.6517776664998086,-8.976119178768172,-0.01,-0.01,-0.01,18.763055172228718,69.47052570368538,-0.12307161031923293
3118.2400000000007,0.0,18.8,68.92084635171896,69.1852324214691,69.85948327479616,69.8868994113282,-5.842899275181555,0.07,0.07,0.07,0.2888225454207511,3.2782403234050497,-18.467059151526417,-0.2317814371258393,-1.0660928143721222,-9.032320359281954,-0.01,-0.01,-0.01,18.757999674451373,69.46311536482811,-0.10127202683401475
3118.250000000001,0.0,18.8,68.99059543999996,69.20183163000013,69.69844751999997,69.9584553799999,-5.5914992503749685,0.07,0.07,0.07,0.2930045072255022,3.2568658519585445,-18.46566516425817,-0.1170109780439128,0.0267215568862213,-8.378627744510982,-0.01,-0.01,-0.01,18.752968212456548,69.4623324925,-0.2752936001538782
3118.2600000000007,0.0,18.8,69.05051544000001,68.97392162999996,69.74980752,70.13179538000003,-5.441574212893626,0.07,0.07,0.07,0.2971864690302531,3.23549138051204,-18.46427117698992,-0.142194388777782,1.114383767535857,-7.959779559118281,-0.01,-0.01,-0.01,18.747960805595984,69.4765099925,-0.46023766750606004
3118.270000000001,0.0,18.8,69.03166617520841,68.80304275183038,69.72602134814454,70.17031581923774,-5.34,0.07,0.07,0.07,0.3013684308349982,3.2141169090655644,-18.462877189721667,-0.4528156312625078,2.191538076152245,-8.019899799599196,-0.01,-0.01,-0.01,18.742977473149505,69.43276152360527,-0.6674583108326222
3118.2800000000007,0.0,18.8,68.83500876546336,68.76090187831358,69.53260554405462,69.9045041555164,-5.34,0.07,0.07,0.07,0.3055503926397492,3.192742437619059,-18.46148320245342,-0.5868497254117842,2.880074887668457,-8.493914128807372,-0.01,-0.01,-0.01,18.738018234324723,69.25825508583699,-0.7123294788651304
3118.290000000001,0.0,18.8,68.59279496892864,68.57551432264476,69.47702190405171,69.74875296544867,-5.368965517241371,0.07,0.07,0.07,0.3097323544445002,3.171367966172554,-18.460089215185167,-0.3671792311531205,2.790209685471732,-9.7969595606599,-0.01,-0.01,-0.01,18.733083108256658,69.09852104026844,-0.43201416034763546
3118.3000000000006,0.0,18.8,68.25660804374856,68.0946393537163,69.70575667909512,69.82003310464825,-5.458920539730048,0.07,0.07,0.07,0.316856138294756,3.156287723410488,-18.43943158511573,-0.2381727158948437,2.20959949937493,-10.78564455569446,-0.01,-0.01,-0.01,18.710296288073327,68.96925929530207,-0.17869102978162157
3118.310000000001,0.0,18.8,67.87088757968108,67.8139175398407,69.8382690836653,69.89974505976099,-5.5200000000000005,0.07,0.07,0.07,0.3241810723703531,3.141637855259294,-18.41745678288894,-0.2932415519399218,0.6326282853567831,-11.13608260325405,-0.01,-0.01,-0.01,18.686297014948234,68.85570481573703,0.019829779793053642
3118.3200000000006,0.0,18.8,67.37745132470162,67.96844941235047,69.76153601593631,69.99779286852582,-5.5200000000000005,0.07,0.07,0.07,0.3315060064459398,3.1269879871081203,-18.395481980662183,-0.8082022471897584,-0.6026466916349772,-11.011348314607682,-0.01,-0.01,-0.01,18.662307129738682,68.77630740537856,-0.043532920950699106
3118.330000000001,0.0,18.796746711837383,67.22442898224524,68.10774007001746,69.5375024856217,69.91623967491898,-5.558471910112301,0.07,0.07,0.07,0.3388309405215369,3.1123381189569264,-18.37350717843539,-2.246404494382242,-1.151960049937662,-9.93269662921332,-0.01,-0.01,-0.01,18.63832666869491,68.69647780320085,-0.6326316912830914
