run_id,start_idx,end_idx,t0_s,t1_s,duration_s,v_start_ms,v_end_ms,source_basename,row_count
1,38006,39632,380.06,396.31,16.25,17.836600459848654,0.19450432799424303,Aero_Validation_Signals_cleaned_10ms.csv,405656
2,43484,44220,434.84,442.19,7.350000000000023,18.671062087143365,5.935095219704263,Aero_Validation_Signals_cleaned_10ms.csv,405656
3,52958,54028,529.58,540.27,10.68999999999994,18.741549451177736,4.1647890460084085,Aero_Validation_Signals_cleaned_10ms.csv,405656
4,56286,56929,562.86,569.28,6.419999999999959,18.714553036985016,7.442140181780471,Aero_Validation_Signals_cleaned_10ms.csv,405656
5,61133,62372,611.33,623.71,12.379999999999995,18.69471875435346,3.15274171836224,Aero_Validation_Signals_cleaned_10ms.csv,405656
6,64960,65770,649.6,657.69,8.090000000000032,18.492023909985257,5.7520767147147085,Aero_Validation_Signals_cleaned_10ms.csv,405656
7,70154,71261,701.54,712.6,11.06000000000006,18.77372115843635,4.251705254305141,Aero_Validation_Signals_cleaned_10ms.csv,405656
8,73720,74512,737.2,745.11,7.909999999999968,18.728745262105758,6.00965888577288,Aero_Validation_Signals_cleaned_10ms.csv,405656
9,80510,81747,805.1,817.46,12.360000000000014,18.568433068752366,3.4836687713011742,Aero_Validation_Signals_cleaned_10ms.csv,405656
10,83705,84516,837.0500000000001,845.15,8.099999999999909,18.70368461501623,5.735316820580747,Aero_Validation_Signals_cleaned_10ms.csv,405656
11,88069,89144,880.69,891.4300000000001,10.740000000000009,18.639452341646678,4.685504600517406,Aero_Validation_Signals_cleaned_10ms.csv,405656
12,91277,92031,912.77,920.3,7.529999999999973,18.802263136577842,6.498317953369241,Aero_Validation_Signals_cleaned_10ms.csv,405656
13,179481,180589,1794.8100000000002,1805.88,11.069999999999936,18.67768082942238,5.492769319001207,Aero_Validation_Signals_cleaned_10ms.csv,405656
14,182797,183508,1827.97,1835.07,7.099999999999909,18.763702178926742,7.673226513192127,Aero_Validation_Signals_cleaned_10ms.csv,405656
15,187052,188277,1870.52,1882.76,12.240000000000009,18.747286935626647,4.534278249810768,Aero_Validation_Signals_cleaned_10ms.csv,405656
16,190828,191506,1908.28,1915.05,6.769999999999982,18.55905506551506,8.523689208833355,Aero_Validation_Signals_cleaned_10ms.csv,405656
17,193409,194454,1934.09,1944.53,10.440000000000055,18.69804309715698,6.273095415704495,Aero_Validation_Signals_cleaned_10ms.csv,405656
18,195783,196684,1957.83,1966.83,9.0,18.802773463186224,5.869821203464427,Aero_Validation_Signals_cleaned_10ms.csv,405656
19,198472,199701,1984.7200000000005,1997.0,12.279999999999518,18.69869369596014,4.965930948296845,Aero_Validation_Signals_cleaned_10ms.csv,405656
20,201042,201874,2010.42,2018.73,8.309999999999945,18.81436771656331,6.665002054134118,Aero_Validation_Signals_cleaned_10ms.csv,405656
21,203474,204652,2034.74,2046.51,11.769999999999982,18.695346173799358,5.307543813808577,Aero_Validation_Signals_cleaned_10ms.csv,405656
