t_s,ICU_Brakpresr_bar,ICU_Speed_kmh,ICU_Speedfl_kmh,ICU_Speedfr_kmh,ICU_Speedrl_kmh,ICU_Speedrr_kmh,ICU_SteeringAngle_deg,SBG_GPS1_VELOCITY_ACC_D,SBG_GPS1_VELOCITY_ACC_E,SBG_GPS1_VELOCITY_ACC_N,GPS1_VEL_D_ms,GPS1_VEL_E_ms,GPS1_VEL_N_ms,IMU_ACCEL_X_ms2,IMU_ACCEL_Y_ms2,IMU_ACCEL_Z_ms2,SBG_VELOCITY_ACC_D,SBG_VELOCITY_ACC_E,SBG_VELOCITY_ACC_N,GPS1_VEL_MAG_ms,WHEEL_SPEED_kmh,IMU_ACCEL_LONG_ms2
1908.28,0.0,18.51296259301802,69.18676823647282,69.1739475350701,69.28013056112232,69.8186750701402,-5.984459999999765,0.06,0.06,0.06,-0.1896821877309694,-3.3148410938654846,18.25963784183297,1.3322666001003438,-2.413554668004582,-11.172071892164205,0.05,0.2,0.17,18.55905506551506,69.36488035070136,0.8879072247671664
1908.29,0.0,18.50796833641312,69.09134739478952,69.14392749498997,69.33480991983971,69.75863498997992,-5.864459999999935,0.06,0.06,0.06,-0.2059933226291386,-3.322996661314569,18.262186456660803,0.6271778834123491,-3.762034025519463,-10.889321991493512,0.05,0.19,0.16,18.563194612940976,69.33217994989977,0.7485533181571873
1908.3,0.0,18.502974079808222,69.06303355016263,69.14409548661496,69.47122583437579,69.76634452339255,-5.838885,0.06,0.06,0.06,-0.2223044575273078,-3.3311522287636537,18.264735071488644,-0.1534075556654817,-4.962934701023817,-10.489021766325395,0.05,0.19,0.16,18.56735149865755,69.36117484863648,0.5507104491655481
1908.31,0.0,18.50201454255691,69.07481238428825,69.16229913935456,69.65647477107876,69.81453066299737,-5.868885000000086,0.06,0.06,0.06,-0.2386155924255234,-3.3393077962127617,18.26728368631649,-0.2517062203347579,-0.9998626030468394,-10.103180114913735,0.05,0.19,0.16,18.57152571102225,69.42702923942973,0.0472124380661246
1908.32,0.0,18.506994870262467,69.07183457990524,69.14832290700569,69.51790907005694,69.89274252804799,-5.823373313343161,0.06,0.06,0.06,-0.2549267273236926,-3.3474633636618463,18.269832301144326,-0.2966724956282451,3.3668623532318067,-9.718468648513902,0.05,0.19,0.16,18.575717238354454,69.40770227125395,-0.4801777539517846
1908.33,0.0,18.511975197968024,69.06009685863874,69.11524387434555,69.18711874345561,69.98877842931934,-5.733418290854548,0.06,0.06,0.06,-0.2712378622218618,-3.355618931110931,18.272380915972168,-0.1145682102630504,2.716483103881015,-9.629734668335493,0.05,0.19,0.16,18.579926068935706,69.33780947643982,-0.36482362547669983
1908.34,0.0,18.51695552567358,68.94797712359579,69.02696316104888,69.03947989013739,70.03039767290885,-5.718850287428119,0.06,0.06,0.06,-0.287548997120031,-3.363774498560016,18.274929530800005,0.0856821026280007,1.6651689612029967,-9.5646533166459,0.05,0.19,0.16,18.584152191009778,69.26120446192273,-0.19810548002855982
1908.35,0.0,18.521935853379155,68.77485352808986,68.90513544569286,69.00314530836454,70.03894698626716,-5.748842789302712,0.06,0.06,0.06,-0.3038601320182466,-3.371930066009124,18.277478145627853,-0.3242784992786464,-1.4335425685436165,-9.78330447330455,0.05,0.19,0.16,18.588395592782884,69.1805203171036,0.01952730849310031
1908.36,0.0,18.52691618108471,68.74409428785604,68.90847002998497,69.25764616191886,70.09785283358316,-5.684677661169419,0.06,0.06,0.06,-0.3199748929963438,-3.3800451926065813,18.280005021400733,-0.7812289562285737,-4.689915824913098,-10.023804713804513,0.05,0.19,0.16,18.592624156332718,69.25201582833576,0.2410808261253758
1908.37,0.0,18.53189650879027,68.80077594702645,68.98867992503743,69.69077959520214,70.18768791604192,-5.564737631184602,0.06,0.06,0.06,-0.3175837497907793,-3.384349250376597,18.280483250041843,-0.7703801093466894,-2.999299661550993,-10.714652434260554,0.05,0.19,0.17,18.59383626747628,69.41698084582698,0.1734796282531729
1908.38,0.0,18.53687683649584,68.82042449253731,68.90535906965151,69.6485917164175,70.02506775621852,-5.407196401799005,0.06,0.06,0.06,-0.315192606585208,-3.3886533081466257,18.28096147868296,-0.6766545170528322,-0.4322598281692364,-11.485285082010048,0.05,0.19,0.17,18.59504961561408,69.34986075870621,0.05465090279526638
1908.39,0.0,18.5418571642014,68.81723046268657,68.72117001492545,69.31321858208968,69.7067294477613,-5.227286356821521,0.06,0.06,0.06,-0.3128014633796435,-3.392957365916641,18.281439707324072,0.1557777777769848,1.2159875156040856,-11.23845193508144,0.05,0.19,0.17,18.596264200503974,69.13958712686575,0.12545195379013815
1908.4,0.0,18.54683749190696,68.85963610708022,68.72920479359503,69.09982045534169,69.63292352764563,-5.197550612346903,0.06,0.06,0.06,-0.3104103201740791,-3.3972614236866576,18.281917935965183,1.0446666666648898,2.7940149812702537,-10.913857677903271,0.05,0.19,0.17,18.597480021903653,69.08039622091565,0.21074570029426223
1908.41,0.0,18.55,68.93137991493629,68.86091357518153,68.96489926444819,69.71644616962732,-5.257535616096089,0.06,0.06,0.06,-0.3080191769685078,-3.401565481456686,18.2823961646063,1.2352653980971304,0.1773585378070454,-9.804366549824872,0.05,0.19,0.17,18.598697079570634,69.11840973104833,0.3789330773772278
