config,CdA_m2_mean,CdA_m2_median,CdA_m2_count,CdA_m2_std,CdA_m2_var,Cr_mean,Cr_median,Cr_count,Cr_std,Cr_var,r2_mean,r2_median,r2_count,r2_std,r2_var,n_points_mean,n_points_median,n_points_count,n_points_std,n_points_var,delta_CdA_vs_base
full,-0.6895243411815309,-0.5538593068277324,12,0.7162506649709899,0.5130150150713851,-0.015300589169216538,-0.0035287611452760955,12,0.027710380173231602,0.0007678651693450271,0.6960611900305181,0.6950459454474456,12,0.07567647754159003,0.00572692925310278,721.9166666666666,680.5,12,100.90090398129456,10180.992424242424,0.2160644361066667
no_front,-0.3988226521111325,-0.35675508247648996,10,0.1761378798549757,0.031024552719805858,-0.0008451945884572256,0.0015296244754733704,10,0.005029703415750451,2.529791645041176e-05,0.5878780072573547,0.5822529039406581,10,0.10090234615252786,0.010181283459084553,838.7,844.5,10,104.50311000156886,10920.900000000001,0.5067661251770652
no_front_rear,-0.9055887772881976,-1.0880468218651622,12,0.5693692008157196,0.3241812868375312,-0.013335170905130903,-0.017701503135008418,12,0.015339334638238793,0.00023529518714387242,0.47572491683912693,0.4582851449682854,12,0.07449214665180516,0.005549079912794046,922.6666666666666,889.5,12,131.75620277503816,17359.69696969697,0.0
no_rear,-0.803511495645305,-0.67707805573,12,0.4865355968315829,0.23671688698426455,-0.016625184132215316,-0.011814640010801458,12,0.017743963549494243,0.0003148482424457803,0.5606999748431737,0.5419419009979466,12,0.07823273137209753,0.006120360257938773,830.5833333333334,843.5,12,168.12357918741762,28265.53787878788,0.10207728164289265
