run_id,config,t0_s,t1_s,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
1,full,380.06,396.31,680,-0.0016420389467281125,0.06533556344823416,-0.00539007396114158,0.6961899965833684,-0.7506463756471371,-0.6255386463726142,-0.0005496345807326232,-45.97709050838715,-103.44845364387109,-183.9083620335486
2,full,434.84,442.19,599,-0.0012214189634399972,0.07474241332428644,-0.25905180979313414,0.8066500322249663,-0.5583629547154272,-0.465302462262856,-0.026415933044733334,-34.19973097631992,-76.94939469671982,-136.79892390527968
3,full,529.58,540.27,883,-0.0012017155039313325,0.05816031683383822,0.0021690504927250765,0.5155059178302508,-0.5493556589400377,-0.4577963824500314,0.00022118159541995245,-33.64803411007731,-75.70807674767396,-134.59213644030925
4,full,562.86,569.28,584,-0.004261766015265385,0.14425861688078756,-0.6600323857801295,0.6910771785111134,-1.948235892692747,-1.6235299105772891,-0.06730457248705006,-119.32944842743076,-268.4912589617192,-477.31779370972305
5,full,611.33,623.71,826,-0.0003931316326123946,0.04477139176404093,0.03804655060265726,0.6798921301011716,-0.1797173177656661,-0.14976443147138843,0.003879668449741478,-11.00768571314705,-24.767292854580862,-44.0307428525882
6,full,649.6,657.69,671,-0.0005396425824410715,0.04477149299357971,-0.037157077433471374,0.7660636638206959,-0.24669375197306123,-0.2055781266442177,-0.0037889674285787067,-15.109992308350002,-33.997482693787504,-60.43996923340001
7,full,701.54,712.6,849,-0.0011796926451907764,0.05966043658091761,-0.03205357353717227,0.6103755648421576,-0.5392880663729264,-0.44940672197743864,-0.0032685548619734842,-33.03139406534174,-74.32063664701892,-132.12557626136697
8,full,737.2,745.11,669,-0.001765564770672044,0.07393832331646472,-0.2130326731061193,0.7453803199888638,-0.8071153237357915,-0.6725961031131596,-0.021723287066033693,-49.43581357881723,-111.23058055233878,-197.74325431526893
9,full,805.1,817.46,778,0.0011949104017310596,0.007052415963785214,0.22470656161972494,0.7149961069522877,0.5462447550770557,0.45520396256421314,0.02291369240461574,33.457491248469665,75.27935530905675,133.82996499387866
10,full,837.0500000000001,845.15,681,-0.002453378002566689,0.08951224806876533,-0.29741720463071236,0.7481198545806069,-1.121544229744772,-0.9346201914539767,-0.030328114558051157,-68.6945840718673,-154.5628141617014,-274.7783362874692
11,full,880.69,891.4300000000001,802,-0.00040009493416699645,0.04021096064885232,0.06133124091292966,0.6939018943115227,-0.18290054133348407,-0.1524171177779034,0.00625404607209696,-11.2026581566759,-25.205980852520774,-44.8106326267036
12,full,912.77,920.3,641,-0.00423648036073145,0.13886034085541724,-0.6226888787017246,0.6845816206192123,-1.9366767363343769,-1.6138972802786475,-0.06349659452531951,-118.6214501004806,-266.8982627260813,-474.4858004019224
13,no_rear,1794.8100000000002,1805.88,934,-0.004007335686770568,0.11698150744690813,-0.3336893012545705,0.4763533565342858,-1.831924885380831,-1.5266040711506925,-0.03402683905865617,-112.2053992295759,-252.4621482665458,-448.8215969183036
14,no_rear,1827.97,1835.07,577,-0.0006514483183314817,0.0446255693237813,-0.05681006375473649,0.5161380162947101,-0.29780494552296305,-0.24817078793580255,-0.005793014307101456,-18.240552913281487,-41.04124405488335,-72.96221165312595
15,no_rear,1870.52,1882.76,953,-0.0015303985941484124,0.059478655277511706,-0.033765979654773334,0.5764864131408929,-0.6996107858964171,-0.5830089882470143,-0.003443171690105524,-42.85116063615555,-96.41511143134998,-171.4046425446222
16,no_rear,1908.28,1915.05,556,-0.0030176004628380687,0.11480413907887303,-0.5863999422969478,0.5334676302601771,-1.3794744972974027,-1.1495620810811689,-0.05979615284495193,-84.49281295946592,-190.10882915879833,-337.9712518378637
17,no_rear,1934.09,1944.53,850,-0.002435187336078641,0.08347290762587377,-0.19124018298290565,0.4512968104436347,-1.113228496493093,-0.9276904137442442,-0.01950107151605346,-68.18524541020194,-153.41680217295436,-272.7409816408078
18,no_rear,1957.83,1966.83,767,-0.001177176182282864,0.056762769570837056,-0.13292015349894365,0.6859646037406297,-0.5381376833293092,-0.44844806944109106,-0.013554083555438775,-32.96093310392019,-74.16209948382043,-131.84373241568076
19,no_rear,1984.7200000000005,1997.0,1016,-0.001212660477921938,0.05363415130773584,-0.038774721854222656,0.5226090513173716,-0.5543590756214574,-0.4619658963512145,-0.0039539212528460444,-33.95449338181427,-76.3976101090821,-135.81797352725707
20,no_rear,2010.42,2018.73,664,-0.0025007816017779314,0.08653515863796601,-0.3022697248828463,0.6269930586747696,-1.1432144465270542,-0.9526787054392118,-0.03082293391554163,-70.02188484978207,-157.54924091200965,-280.0875393991283
21,no_rear,2034.74,2046.51,987,-0.0016016030754139223,0.06421113827269048,-0.09880392542490855,0.5504161717357161,-0.7321614059035073,-0.6101345049195894,-0.01007519646616414,-44.84488611158983,-100.90099375107711,-179.37954444635932
22,no_rear,2058.05,2067.26,770,-0.0014318178996703377,0.06285338823046692,-0.1696291682220885,0.6653101793081132,-0.6545453255635829,-0.5454544379696524,-0.017297361303002405,-40.09090119076946,-90.20452767923128,-160.36360476307783
23,no_rear,2084.12,2096.4100000000003,1056,-0.0013883863482619218,0.05903667180549667,-0.06413284896656107,0.48207040031661097,-0.6346909020625928,-0.5289090850521607,-0.00653973058756671,-38.874817751333815,-87.46833994050108,-155.49927100533526
24,no_rear,2108.6400000000003,2119.4,837,-0.00013778077719316928,0.027859274293979892,0.05198766915123268,0.641294006351173,-0.0629854981454488,-0.05248791512120734,0.005301266910844446,-3.8578617614087394,-8.680188963169664,-15.431447045634958
25,no_front_rear,2400.9000000000005,2415.7900000000004,1050,-0.0006732812141631384,0.03738743258730255,0.06266859802900188,0.4722038949475411,-0.30778569790314897,-0.2564880815859575,0.006390418545476986,-18.851873996567875,-42.41671649227772,-75.4074959862715
26,no_front_rear,2430.28,2439.51,770,-0.003361004163201627,0.10097797426189355,-0.3443059287244437,0.5850484351091425,-1.5364590460350294,-1.2803825383625245,-0.03510943377447383,-94.10811656964555,-211.7432622817025,-376.4324662785822
27,no_front_rear,2453.7300000000005,2466.76,1048,7.075621717230801e-05,0.02096386748405188,0.12340943262037604,0.5144754151470399,0.032345699278769374,0.02695474939897448,0.012584259927740466,1.981174080824624,4.457641681855405,7.924696323298496
28,no_front_rear,2477.1100000000006,2487.1800000000003,816,-0.003526330014957224,0.09474060342995834,-0.26675774769003613,0.39529031889139277,-1.6120365782661594,-1.3433638152217995,-0.027201720025700534,-98.73724041880227,-222.15879094230513,-394.9489616752091
29,no_front_rear,2502.0000000000005,2514.74,1068,-0.0005134037554552529,0.03796325387630593,0.020595654584775927,0.5521697863918726,-0.23469885963668702,-0.19558238303057252,0.0021001722896989215,-14.375305152747082,-32.34443659368093,-57.50122061098833
30,no_front_rear,2524.4700000000003,2534.4500000000003,841,-0.0012592255748749,0.05455490834741511,-0.10818262784763526,0.5673885072824022,-0.5756459770856686,-0.4797049809047238,-0.011031557957879119,-35.2583160964972,-79.33121121711869,-141.0332643859888
31,no_front_rear,2548.1600000000003,2559.3400000000006,938,-0.002453171712360942,0.08290875242236131,-0.21930326715632226,0.38689407447984325,-1.1214499256507162,-0.9345416047089302,-0.022362709707833182,-68.68880794610638,-154.54981787873936,-274.7552317844255
32,no_front_rear,2570.5000000000005,2579.9200000000005,738,-0.0032507951355036794,0.0928545229357841,-0.2961971770585212,0.5504727898223392,-1.4860777762302533,-1.2383981468585445,-0.030203706368486818,-91.02226379410303,-204.8000935367318,-364.0890551764121
33,no_front_rear,2591.4200000000005,2603.99,1082,-0.0023500752933968668,0.07972996654843247,-0.19119892584371193,0.42781194131897105,-1.0743201341242818,-0.8952667784369016,-0.019496864458679767,-65.80210821511227,-148.05474348400259,-263.2084328604491
