config,n_points,k2_v2_term_ms2_per_ms2,k1_v_term_ms2_per_ms,c_const_ms2,r2,CdA_m2,Cd,Cr,Fd_10ms_N,Fd_15ms_N,Fd_20ms_N
full,8581,0.001034326935186067,0.009857946580082592,0.17489888434917217,0.6531931303117593,0.47283517037077344,0.3940293086423112,0.01783472280026025,28.961154185209875,65.16259691672222,115.8446167408395
no_rear,9640,-5.206593988812099e-05,0.027383526787031785,0.0689856836107496,0.5630022232747354,-0.02380157252028388,-0.019834643766903234,0.007034582004124711,-1.4578463168673876,-3.280154212951622,-5.8313852674695505
no_front_rear,10993,-0.0003919265820265374,0.03285559953706699,0.03435461252415102,0.48820769970834155,-0.17916643749784564,-0.14930536458153804,0.0035031955381451384,-10.973944296743046,-24.691374667671855,-43.89577718697218
no_front,8086,0.0005508709225118772,0.01829216085711779,0.1108079924745471,0.6372207820862914,0.251826707434001,0.20985558952833416,0.011299270645383195,15.424385830332563,34.704868118248264,61.69754332133025
