config,v_ms,Fd_N
full,10.0,28.961154185209878
full,15.0,65.16259691672221
full,20.0,115.84461674083951
no_rear,10.0,-1.4578463168673879
no_rear,15.0,-3.2801542129516226
no_rear,20.0,-5.831385267469551
no_front_rear,10.0,-10.973944296743046
no_front_rear,15.0,-24.69137466767185
no_front_rear,20.0,-43.89577718697218
no_front,10.0,15.424385830332563
no_front,15.0,34.70486811824827
no_front,20.0,61.69754332133025
